Região;UF;Estado;Estimativa de OSCs Ativas;Fonte dos Dados
Centro-Oeste;DF;Distrito Federal;18500;Ipea / Mapa das OSC (Base 2024-2026)
Centro-Oeste;GO;Goiás;31400;Ipea / Mapa das OSC (Base 2024-2026)
Centro-Oeste;MS;Mato Grosso do Sul;12600;Ipea / Mapa das OSC (Base 2024-2026)
Centro-Oeste;MT;Mato Grosso;15200;Ipea / Mapa das OSC (Base 2024-2026)
Nordeste;AL;Alagoas;10500;Ipea / Mapa das OSC (Base 2024-2026)
Nordeste;BA;Bahia;68300;Ipea / Mapa das OSC (Base 2024-2026)
Nordeste;CE;Ceará;36200;Ipea / Mapa das OSC (Base 2024-2026)
Nordeste;MA;Maranhão;28100;Ipea / Mapa das OSC (Base 2024-2026)
Nordeste;PB;Paraíba;19400;Ipea / Mapa das OSC (Base 2024-2026)
Nordeste;PE;Pernambuco;41200;Ipea / Mapa das OSC (Base 2024-2026)
Nordeste;PI;Piauí;15800;Ipea / Mapa das OSC (Base 2024-2026)
Nordeste;RN;Rio Grande do Norte;16900;Ipea / Mapa das OSC (Base 2024-2026)
Nordeste;SE;Sergipe;9300;Ipea / Mapa das OSC (Base 2024-2026)
Norte;AC;Acre;3200;Ipea / Mapa das OSC (Base 2024-2026)
Norte;AM;Amazonas;11400;Ipea / Mapa das OSC (Base 2024-2026)
Norte;AP;Amapá;2600;Ipea / Mapa das OSC (Base 2024-2026)
Norte;PA;Pará;24500;Ipea / Mapa das OSC (Base 2024-2026)
Norte;RO;Rondônia;6100;Ipea / Mapa das OSC (Base 2024-2026)
Norte;RR;Roraima;2100;Ipea / Mapa das OSC (Base 2024-2026)
Norte;TO;Tocantins;6900;Ipea / Mapa das OSC (Base 2024-2026)
Sudeste;ES;Espírito Santo;18400;Ipea / Mapa das OSC (Base 2024-2026)
Sudeste;MG;Minas Gerais;98200;Ipea / Mapa das OSC (Base 2024-2026)
Sudeste;RJ;Rio de Janeiro;89100;Ipea / Mapa das OSC (Base 2024-2026)
Sudeste;SP;São Paulo;232000;Ipea / Mapa das OSC (Base 2024-2026)
Sul;PR;Paraná;56500;Ipea / Mapa das OSC (Base 2024-2026)
Sul;RS;Rio Grande do Sul;62200;Ipea / Mapa das OSC (Base 2024-2026)
Sul;SC;Santa Catarina;42200;Ipea / Mapa das OSC (Base 2024-2026)
